pressSN,endTime,startTime,machineState,pressState,State
70001002,2023-04-03T06:41:01.8656006-04:00,2023-04-03T06:40:39.5375289-04:00,POWER_DISABLE,Off,1
70001002,2023-04-03T06:49:48.1554688-04:00,2023-04-03T06:41:01.8656006-04:00,OFF,Off,1
70001002,2023-04-03T06:49:48.4081471-04:00,2023-04-03T06:49:48.1554688-04:00,GO_TO_SERVICE,Service,2
70001002,2023-04-03T07:05:07.8248466-04:00,2023-04-03T06:49:48.4081471-04:00,SERVICE,Service,2
70001002,2023-04-03T07:06:25.1267361-04:00,2023-04-03T07:05:07.8248466-04:00,OFF,Off,1
70001002,2023-04-03T07:08:42.4944987-04:00,2023-04-03T07:06:25.1267361-04:00,MECH_INIT,Off,1
70001002,2023-04-03T07:08:49.7401101-04:00,2023-04-03T07:08:42.4944987-04:00,GO_TO_OFF,Off,1
70001002,2023-04-03T07:09:24.3804154-04:00,2023-04-03T07:08:49.7401101-04:00,OFF,Off,1
70001002,2023-04-03T07:09:24.7336677-04:00,2023-04-03T07:09:24.3804154-04:00,GO_TO_SERVICE,Service,2
70001002,2023-04-03T07:09:54.2415519-04:00,2023-04-03T07:09:24.7336677-04:00,SERVICE,Service,2
70001002,2023-04-03T07:09:56.8189219-04:00,2023-04-03T07:09:54.2415519-04:00,OFF,Off,1
70001002,2023-04-03T07:10:45.7562036-04:00,2023-04-03T07:09:56.8189219-04:00,MECH_INIT,Off,1
70001002,2023-04-03T07:11:14.155177-04:00,2023-04-03T07:10:45.7562036-04:00,STANDBY,Standby,3
70001002,2023-04-03T07:27:51.2081731-04:00,2023-04-03T07:11:14.155177-04:00,GET_READY,GetReady,4
70001002,2023-04-03T07:28:38.5737931-04:00,2023-04-03T07:27:51.2081731-04:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T07:29:18.2276664-04:00,2023-04-03T07:28:38.5737931-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T07:29:59.7289524-04:00,2023-04-03T07:29:18.2276664-04:00,PRINT,Print,8
70001004,2023-04-03T07:30:17.8473938-05:00,2023-04-03T07:29:55.9229807-05:00,POWER_DISABLE,Off,1
70001002,2023-04-03T07:30:31.5652009-04:00,2023-04-03T07:29:59.7289524-04:00,POST_PRINT,Print,7
70001004,2023-04-03T07:33:21.0990793-05:00,2023-04-03T07:30:17.8473938-05:00,OFF,Off,1
70001002,2023-04-03T07:31:40.0522737-04:00,2023-04-03T07:30:31.5652009-04:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T07:32:51.3551142-04:00,2023-04-03T07:31:40.0522737-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T07:36:39.5840001-04:00,2023-04-03T07:32:51.3551142-04:00,PRINT,Print,8
70001004,2023-04-03T07:34:38.444236-05:00,2023-04-03T07:33:21.0990793-05:00,MECH_INIT,Off,1
70001004,2023-04-03T07:34:58.9930089-05:00,2023-04-03T07:34:38.444236-05:00,STANDBY,Standby,3
70001004,2023-04-03T07:56:03.834997-05:00,2023-04-03T07:34:58.9930089-05:00,GET_READY,GetReady,4
70001002,2023-04-03T07:36:56.1046969-04:00,2023-04-03T07:36:39.5840001-04:00,POST_PRINT,Print,7
70001002,2023-04-03T07:37:38.0115779-04:00,2023-04-03T07:36:56.1046969-04:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T07:38:23.1189462-04:00,2023-04-03T07:37:38.0115779-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T07:44:05.7488767-04:00,2023-04-03T07:38:23.1189462-04:00,PRINT,Print,8
70001002,2023-04-03T07:44:22.2588953-04:00,2023-04-03T07:44:05.7488767-04:00,POST_PRINT,Print,7
70001002,2023-04-03T07:44:32.9427062-04:00,2023-04-03T07:44:22.2588953-04:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T07:45:25.3095807-04:00,2023-04-03T07:44:32.9427062-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T07:45:46.4649536-04:00,2023-04-03T07:45:25.3095807-04:00,PRINT,Print,8
70001002,2023-04-03T07:46:02.9807739-04:00,2023-04-03T07:45:46.4649536-04:00,POST_PRINT,Print,7
70001002,2023-04-03T07:49:04.48211-04:00,2023-04-03T07:46:02.9807739-04:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T07:49:54.0321391-04:00,2023-04-03T07:49:04.48211-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T07:50:10.3429035-04:00,2023-04-03T07:49:54.0321391-04:00,PRINT,Print,8
70001002,2023-04-03T07:50:26.86846-04:00,2023-04-03T07:50:10.3429035-04:00,POST_PRINT,Print,7
70001002,2023-04-03T08:00:55.7303216-04:00,2023-04-03T07:50:26.86846-04:00,DYNAMIC_READY,Ready,6
70001004,2023-04-03T08:06:33.2648546-05:00,2023-04-03T07:56:03.834997-05:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T08:05:09.5548766-04:00,2023-04-03T08:00:55.7303216-04:00,READY,Ready,5
70001002,2023-04-03T08:06:50.8538931-04:00,2023-04-03T08:05:09.5548766-04:00,PRE_PRINT,Print,7
70001004,2023-04-03T08:06:45.1581951-05:00,2023-04-03T08:06:33.2648546-05:00,READY,Ready,5
70001004,2023-04-03T08:08:12.5733784-05:00,2023-04-03T08:06:45.1581951-05:00,PRE_PRINT,Print,7
70001002,2023-04-03T08:07:11.8037298-04:00,2023-04-03T08:06:50.8538931-04:00,PRINT,Print,8
