"pressSN","endTime","time","plcTime","machineState","pressState"
"70001004",,"2023-04-24T07:12:08.7303692-05:00","2023-04-24T07:20:14.606-05:00","POWER_DISABLE","Off"
"70001004",,"2023-04-24T07:17:42.5320913-05:00","2023-04-24T07:25:50.008-05:00","OFF","Off"
"70001004",,"2023-04-24T07:18:02.8845407-05:00","2023-04-24T07:26:10.352-05:00","MECH_INIT","Off"
"70001004",,"2023-04-24T07:19:35.345016-05:00","2023-04-24T07:27:42.798-05:00","STANDBY","Standby"
"70001004",,"2023-04-24T07:20:43.6443636-05:00","2023-04-24T07:28:51.157-05:00","GET_READY","GetReady"
"70001004",,"2023-04-24T07:36:51.2789302-05:00","2023-04-24T07:44:58.597-05:00","DYNAMIC_READY","Ready"
"70001004",,"2023-04-24T07:38:14.3326071-05:00","2023-04-24T07:46:21.795-05:00","PRE_PRINT","Print"
"70001004",,"2023-04-24T07:39:00.4156811-05:00","2023-04-24T07:47:07.826-05:00","PRINT","Print"
"70001004",,"2023-04-24T07:39:42.5404747-05:00","2023-04-24T07:47:49.97-05:00","POST_PRINT","Print"
"70001004",,"2023-04-24T07:40:06.1174788-05:00","2023-04-24T07:48:13.521-05:00","DYNAMIC_READY","Ready"
"70001004",,"2023-04-24T07:40:50.0432905-05:00","2023-04-24T07:48:57.416-05:00","PRE_PRINT","Print"
"70001004",,"2023-04-24T07:42:00.5552716-05:00","2023-04-24T07:50:07.895-05:00","PRINT","Print"
"70001004",,"2023-04-24T07:46:37.4245468-05:00","2023-04-24T07:54:44.867-05:00","POST_PRINT","Print"
"70001004",,"2023-04-24T07:47:01.2068782-05:00","2023-04-24T07:55:08.57-05:00","DYNAMIC_READY","Ready"
"70001004",,"2023-04-24T07:49:05.5250084-05:00","2023-04-24T07:57:12.968-05:00","PRE_PRINT","Print"
"70001004",,"2023-04-24T07:49:54.4637935-05:00","2023-04-24T07:58:01.807-05:00","PRINT","Print"
"70001004",,"2023-04-24T07:50:11.7885125-05:00","2023-04-24T07:58:19.263-05:00","POST_PRINT","Print"
"70001004",,"2023-04-24T07:50:29.129806-05:00","2023-04-24T07:58:36.503-05:00","DYNAMIC_READY","Ready"
"70001004",,"2023-04-24T08:00:58.7625739-05:00","2023-04-24T08:09:06.116-05:00","READY","Ready"
"70001004",,"2023-04-24T08:28:35.6781362-05:00","2023-04-24T08:36:43.119-05:00","PRE_PRINT","Print"
"70001004",,"2023-04-24T08:37:53.7895023-05:00","2023-04-24T08:46:01.157-05:00","PRINT","Print"
"70001004",,"2023-04-24T08:38:18.5693107-05:00","2023-04-24T08:46:26.013-05:00","POST_PRINT","Print"
"70001004",,"2023-04-24T08:38:42.3655228-05:00","2023-04-24T08:46:49.685-05:00","DYNAMIC_READY","Ready"
"70001004",,"2023-04-24T08:39:53.4721235-05:00","2023-04-24T08:48:00.876-05:00","PRE_PRINT","Print"
"70001004",,"2023-04-24T08:40:44.2544592-05:00","2023-04-24T08:48:51.531-05:00","PRINT","Print"
"70001004",,"2023-04-24T08:41:09.4388971-05:00","2023-04-24T08:49:16.906-05:00","POST_PRINT","Print"
"70001004",,"2023-04-24T08:41:38.6557384-05:00","2023-04-24T08:49:46.002-05:00","DYNAMIC_READY","Ready"
"70001004",,"2023-04-24T08:42:26.2129929-05:00","2023-04-24T08:50:33.521-05:00","PRE_PRINT","Print"
"70001004",,"2023-04-24T08:43:15.5737773-05:00","2023-04-24T08:51:22.968-05:00","PRINT","Print"
"70001004",,"2023-04-24T08:43:41.3830503-05:00","2023-04-24T08:51:48.808-05:00","POST_PRINT","Print"
"70001004",,"2023-04-24T08:44:07.76986-05:00","2023-04-24T08:52:15.2-05:00","DYNAMIC_READY","Ready"
"70001004",,"2023-04-24T08:44:36.5841595-05:00","2023-04-24T08:52:44.015-05:00","PRE_PRINT","Print"
"70001004",,"2023-04-24T08:45:23.3236305-05:00","2023-04-24T08:53:30.71-05:00","PRINT","Print"
"70001004",,"2023-04-24T08:45:48.902815-05:00","2023-04-24T08:53:56.301-05:00","POST_PRINT","Print"
"70001004",,"2023-04-24T08:46:12.6966646-05:00","2023-04-24T08:54:19.965-05:00","DYNAMIC_READY","Ready"
