pressSN,endTime,time,plcTime,machineState,pressState
70001002,,2023-03-20T06:35:52.2600856-04:00,2023-03-20T06:38:05.257-04:00,POWER_DISABLE,Off
70001002,,2023-03-20T06:43:59.1336753-04:00,2023-03-20T06:46:11.211-04:00,POWER_DISABLE,Off
70001002,,2023-03-20T06:45:08.5968049-04:00,2023-03-20T06:47:21.724-04:00,OFF,Off
70001002,,2023-03-20T06:45:13.6832915-04:00,2023-03-20T06:47:26.844-04:00,GO_TO_SERVICE,Service
70001002,,2023-03-20T06:45:13.684116-04:00,2023-03-20T06:47:26.924-04:00,SERVICE,Service
70001004,,2023-03-20T07:17:04.2751659-05:00,2023-03-20T07:23:28.053-05:00,POWER_DISABLE,Off
70001004,,2023-03-20T07:17:27.20803-05:00,2023-03-20T07:23:51.525-05:00,OFF,Off
70001004,,2023-03-20T07:19:29.2540436-05:00,2023-03-20T07:25:53.739-05:00,MECH_INIT,Off
70001004,,2023-03-20T07:20:32.8990872-05:00,2023-03-20T07:26:57.29-05:00,STANDBY,Standby
70001004,,2023-03-20T07:20:45.384705-05:00,2023-03-20T07:27:09.898-05:00,GET_READY,GetReady
70001004,,2023-03-20T07:20:49.4271666-05:00,2023-03-20T07:27:13.81-05:00,GO_TO_OFF,Off
70001004,,2023-03-20T07:20:59.8859954-05:00,2023-03-20T07:27:24.161-05:00,OFF,Off
70001004,,2023-03-20T07:23:00.5476846-05:00,2023-03-20T07:29:25.031-05:00,MECH_INIT,Off
70001004,,2023-03-20T07:23:48.698712-05:00,2023-03-20T07:30:13.095-05:00,STANDBY,Standby
70001004,,2023-03-20T07:23:59.3657733-05:00,2023-03-20T07:30:23.806-05:00,GET_READY,GetReady
70001004,,2023-03-20T07:39:33.9216263-05:00,2023-03-20T07:45:58.191-05:00,GO_TO_OFF,Off
70001004,,2023-03-20T07:39:51.6482115-05:00,2023-03-20T07:46:16.047-05:00,OFF,Off
70001004,,2023-03-20T08:11:14.5182447-05:00,2023-03-20T08:17:38.998-05:00,MECH_INIT,Off
70001004,,2023-03-20T08:12:02.6669418-05:00,2023-03-20T08:18:27.094-05:00,STANDBY,Standby
70001004,,2023-03-20T08:12:39.3468462-05:00,2023-03-20T08:19:03.677-05:00,GET_READY,GetReady
70001004,,2023-03-20T08:22:54.2096582-05:00,2023-03-20T08:29:18.602-05:00,READY,Ready
70001004,,2023-03-20T08:23:20.4181299-05:00,2023-03-20T08:29:44.786-05:00,PRE_PRINT,Print
70001004,,2023-03-20T08:24:57.1111115-05:00,2023-03-20T08:31:21.473-05:00,PRINT,Print
70001004,,2023-03-20T08:25:25.1157472-05:00,2023-03-20T08:31:49.552-05:00,POST_PRINT,Print
70001004,,2023-03-20T08:25:56.146332-05:00,2023-03-20T08:32:20.576-05:00,READY,Ready
70001004,,2023-03-20T08:26:13.4870916-05:00,2023-03-20T08:32:37.927-05:00,GO_TO_STANDBY,Standby
70001004,,2023-03-20T08:26:19.7215081-05:00,2023-03-20T08:32:44.031-05:00,STANDBY,Standby
70001004,,2023-03-20T08:26:24.8049273-05:00,2023-03-20T08:32:49.055-05:00,GO_TO_OFF,Off
70001004,,2023-03-20T08:26:34.0386418-05:00,2023-03-20T08:32:58.487-05:00,OFF,Off
